,K,d,r,s,D_K,A,B,j,j_deg,gmm,cm
517,x^4 - 8*x^2 + 9,4,4,0,12544,96000*theta_K^3 - 99840*theta_K^2 - 130560*theta_K + 134480,-143897600/3*theta_K^3 + 46024704*theta_K^2 + 194897920/3*theta_K - 62318976,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True,True
518,x^4 - 8*x^2 + 9,4,4,0,12544,6056000/3*theta_K^3 - 5199360*theta_K^2 - 8198080/3*theta_K + 7039920,16195264768/3*theta_K^3 - 13917249920*theta_K^2 - 21932480768/3*theta_K + 18847442432,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True,True
519,x^4 - 2*x^3 - 10*x^2 + 11*x + 29,4,4,0,12725,17536/3*theta_K^3 - 24064*theta_K^2 - 22144/3*theta_K + 239216/3,-35033600/27*theta_K^3 + 144363520/27*theta_K^2 + 44187136/27*theta_K - 159694976/9,x^2 - 1839*x - 1030301,2,True,False
520,x^4 - 2*x^3 - 10*x^2 + 11*x + 29,4,4,0,12725,478336/3*theta_K^3 - 644864*theta_K^2 - 617344/3*theta_K + 6229616/3,4482096640/27*theta_K^3 - 18449607680/27*theta_K^2 - 5647771136/27*theta_K + 20360884096/9,x^2 - 5231294561151489*x - 3351436800666239501,2,True,False
521,x^4 - 2*x^3 + 19*x^2 - 18*x + 93,4,0,2,12753,-110807680*theta_K^3 - 186602752/3*theta_K^2 - 3040861952/3*theta_K - 1243683712/3,5142151736320/3*theta_K^3 - 20398392891136/3*theta_K^2 + 43555261804288/3*theta_K - 1730950419779840/27,x^4 - 851968*x^3 + 553094479872*x^2 + 246702921482240*x + 96545917011755008,4,True,False
522,x^4 - 2*x^3 + 19*x^2 - 18*x + 93,4,0,2,12753,1069376/3*theta_K^3 - 828096*theta_K^2 + 11344576/3*theta_K - 1899520/3,-244579072/3*theta_K^3 - 2841410816/3*theta_K^2 + 4734555904/3*theta_K - 310182065152/27,x^4 - 851968*x^3 + 553094479872*x^2 + 246702921482240*x + 96545917011755008,4,False,False
523,x^4 - 2*x^3 + 19*x^2 - 18*x + 93,4,0,2,12753,-16064/3*theta_K^3 + 31232/3*theta_K^2 - 46976*theta_K + 305600/3,290560*theta_K^3 + 5479168/3*theta_K^2 + 8720128/3*theta_K + 437390336/27,x^4 - 851968*x^3 + 553094479872*x^2 + 246702921482240*x + 96545917011755008,4,False,False
524,x^4 - 2*x^3 + 19*x^2 - 18*x + 93,4,0,2,12753,64/3*theta_K^3 - 128*theta_K^2 + 512/3*theta_K - 3520/3,-1024/3*theta_K^3 - 7936/3*theta_K^2 - 10496/3*theta_K - 637184/27,x^4 - 851968*x^3 + 553094479872*x^2 + 246702921482240*x + 96545917011755008,4,True,False
525,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,160*theta_K^3 + 1105/3*theta_K^2 - 372*theta_K - 9724/3,-78472/27*theta_K^3 - 74518/9*theta_K^2 - 5752/9*theta_K + 406568/9,x^4 - 10208*x^3 + 16150757790*x^2 - 3487291275296*x + 193993930486369,4,False,False
526,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,8/3*theta_K^3 + 385/3*theta_K^2 - 1916/3*theta_K + 2548/3,68000/27*theta_K^3 - 149210/9*theta_K^2 + 37816*theta_K - 792056/27,x^4 - 10208*x^3 + 16150757790*x^2 - 3487291275296*x + 193993930486369,4,True,False
527,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,13/3*theta_K^3 + 34/3*theta_K^2 - 23/3*theta_K - 102,-595/18*theta_K^3 - 83/3*theta_K^2 + 5273/18*theta_K + 28087/27,x^4 - 10208*x^3 + 16150757790*x^2 - 3487291275296*x + 193993930486369,4,False,False
528,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,511/6*theta_K^3 + 4388*theta_K^2 - 43495/2*theta_K + 28878,17264027/54*theta_K^3 - 5011519/9*theta_K^2 - 43221227/18*theta_K + 151689349/27,x^4 - 10208*x^3 + 16150757790*x^2 - 3487291275296*x + 193993930486369,4,True,False
529,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,21*theta_K^3 - 242/3*theta_K^2 + 49*theta_K + 102,-2101/18*theta_K^3 + 5345/9*theta_K^2 - 16897/18*theta_K + 8113/27,x^4 + 5534*x^3 + 10802550338*x^2 - 30047822806178*x + 21982354780586689,4,False,False
530,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,-14881/3*theta_K^3 - 363943/3*theta_K^2 + 1925815/3*theta_K - 2614711/3,-352139515/27*theta_K^3 + 364625728/3*theta_K^2 - 3256995229/9*theta_K + 9917802004/27,x^4 + 5534*x^3 + 10802550338*x^2 - 30047822806178*x + 21982354780586689,4,True,False
531,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,-491089/3*theta_K^3 + 799001/3*theta_K^2 + 1316845*theta_K - 8969911/3,1720301701/27*theta_K^3 - 2761535372/9*theta_K^2 + 1298481265/3*theta_K - 1689710816/27,x^4 + 5534*x^3 + 10802550338*x^2 - 30047822806178*x + 21982354780586689,4,True,False
532,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,31/3*theta_K^3 - 50/3*theta_K^2 - 269/3*theta_K + 626/3,1135/54*theta_K^3 - 2065/9*theta_K^2 + 13361/18*theta_K - 7243/9,x^4 + 5534*x^3 + 10802550338*x^2 - 30047822806178*x + 21982354780586689,4,False,False
533,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,-227/3*theta_K^3 - 446/3*theta_K^2 + 697/3*theta_K + 1338,8491/18*theta_K^3 + 811/3*theta_K^2 - 77345/18*theta_K - 367279/27,x^4 + 32211858494*x^3 + 260566621966600230338*x^2 - 6149889985590885949541378*x + 36522528588805556716872795649,4,False,False
534,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,7711/6*theta_K^3 + 70388*theta_K^2 - 695175/2*theta_K + 460958,-1106457923/54*theta_K^3 + 322636519/9*theta_K^2 + 2756604179/18*theta_K - 9695635453/27,x^4 + 32211858494*x^3 + 260566621966600230338*x^2 - 6149889985590885949541378*x + 36522528588805556716872795649,4,True,False
535,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,-7171/3*theta_K^3 - 198782/3*theta_K^2 - 831463/3*theta_K - 475014,127286197/18*theta_K^3 + 404043551/9*theta_K^2 + 2100773761/18*theta_K + 2788878671/27,x^4 + 32211858494*x^3 + 260566621966600230338*x^2 - 6149889985590885949541378*x + 36522528588805556716872795649,4,False,False
536,x^4 - 7*x^2 - 12*x + 52,4,0,2,12816,-209/6*theta_K^3 + 268/3*theta_K^2 + 361/2*theta_K - 1814/3,28255/54*theta_K^3 - 1523*theta_K^2 - 15791/18*theta_K + 133529/27,x^4 + 32211858494*x^3 + 260566621966600230338*x^2 - 6149889985590885949541378*x + 36522528588805556716872795649,4,True,False
537,x^4 - 2*x^3 - 5*x^2 + 6*x + 11,4,0,2,12864,-2560/3*theta_K^3 - 320*theta_K^2 + 10880/3*theta_K + 3840,-14336*theta_K^3 + 7168/27*theta_K^2 + 2057216/27*theta_K + 680960/9,8000,1,True,True
538,x^4 - 2*x^3 + 3*x^2 + 8*x + 8,4,0,2,12864,-910400*theta_K^3 - 52748800/3*theta_K^2 - 26282560*theta_K - 17174720,2435721713152/81*theta_K^3 + 4194519805952/81*theta_K^2 + 3181668406784/81*theta_K + 401936969728/81,8000,1,True,True
539,x^4 - x^3 - 6*x^2 - x + 1,4,4,0,13068,-128/3*theta_K^3 - 128*theta_K^2 - 128/3*theta_K,-28672/27*theta_K^3 - 6272/3*theta_K^2 - 896/3*theta_K + 896/3,-32768,1,True,True
540,x^4 - x^3 - 6*x^2 - x + 1,4,4,0,13068,-384*theta_K^3 - 896/3*theta_K^2 + 640*theta_K - 512/3,254464/27*theta_K^3 + 214144/9*theta_K^2 + 79744/9*theta_K - 156800/27,-32768,1,True,True
541,x^4 - x^3 - 6*x^2 - x + 1,4,4,0,13068,-2961664/3*theta_K^3 + 2217728/3*theta_K^2 + 18966272/3*theta_K + 9242624/3,3135888896/9*theta_K^3 - 247409792*theta_K^2 - 6598110848/3*theta_K - 28997643136/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
542,x^4 - x^3 - 6*x^2 - x + 1,4,4,0,13068,-14272256/3*theta_K^3 + 9632000/3*theta_K^2 + 88897792/3*theta_K + 43489792/3,-96952497152/27*theta_K^3 + 21711711616/9*theta_K^2 + 201062581888/9*theta_K + 295133732992/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
543,x^4 - x^3 - 6*x^2 - x + 1,4,4,0,13068,-19584*theta_K^3 - 127616/3*theta_K^2 - 8320*theta_K + 22528/3,207079936/27*theta_K^3 + 141248128/9*theta_K^2 + 15508864/9*theta_K - 68249216/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
544,x^4 - x^3 - 6*x^2 - x + 1,4,4,0,13068,-11648/3*theta_K^3 - 9088*theta_K^2 - 11648/3*theta_K,-20156416/27*theta_K^3 - 1549184*theta_K^2 - 221312*theta_K + 221312,x^2 + 37616060956672*x - 56171326053810176,2,True,True
545,x^4 - x^3 - 4*x + 16,4,0,2,13068,64/3*theta_K^3 - 64/3*theta_K^2 - 256/3*theta_K - 288,560/3*theta_K^3 - 560/3*theta_K^2 - 2240/3*theta_K - 67984/27,-32768,1,True,True
546,x^4 - x^3 - 4*x + 16,4,0,2,13068,45120*theta_K^3 - 45120*theta_K^2 - 180480*theta_K - 1825888/3,-18143440*theta_K^3 + 18143440*theta_K^2 + 72573760*theta_K + 6607956656/27,-32768,1,True,True
547,x^4 - x^3 - 4*x + 16,4,0,2,13068,1184/3*theta_K^3 + 2752/3*theta_K^2 + 4736/3*theta_K,-257488/27*theta_K^3 - 34048/3*theta_K^2 - 34048/3*theta_K + 136192/3,x^2 + 37616060956672*x - 56171326053810176,2,True,True
548,x^4 - x^3 - 4*x + 16,4,0,2,13068,827360*theta_K^3 + 5888192/3*theta_K^2 + 3309440*theta_K,25061666672/27*theta_K^3 + 3302962432/3*theta_K^2 + 3302962432/3*theta_K - 13211849728/3,x^2 + 37616060956672*x - 56171326053810176,2,True,True
549,x^4 - x^3 - 4*x + 16,4,0,2,13068,244504/3*theta_K^3 - 244504/3*theta_K^2 - 978016/3*theta_K + 773376,-51059764/3*theta_K^3 + 51059764/3*theta_K^2 + 204239056/3*theta_K - 4360612480/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
550,x^4 - x^3 - 4*x + 16,4,0,2,13068,72*theta_K^3 - 72*theta_K^2 - 288*theta_K - 256/3,532*theta_K^3 - 532*theta_K^2 - 2128*theta_K - 85120/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
551,x^4 - x^3 + 5*x^2 - 12*x + 18,4,0,2,13132,5,4/9*theta_K^3 + 8/9*theta_K^2 + 8/9*theta_K - 2/3,-3375,1,True,True
552,x^4 - x^3 + 5*x^2 - 12*x + 18,4,0,2,13132,-85/3*theta_K^3 - 170/3*theta_K^2 - 170/3*theta_K + 85,114*theta_K^3 + 228*theta_K^2 + 228*theta_K - 2166,16581375,1,True,True
553,x^4 - x^3 + 8*x^2 - 10*x + 16,4,0,2,13132,5,2/3*theta_K^3 + 2/3*theta_K^2 + 8/3*theta_K + 2/3,-3375,1,True,True
554,x^4 - x^3 + 8*x^2 - 10*x + 16,4,0,2,13132,-85/2*theta_K^3 - 85/2*theta_K^2 - 170*theta_K,171*theta_K^3 + 171*theta_K^2 + 684*theta_K - 1824,16581375,1,True,True
555,x^4 - 4*x^2 - 2*x - 2,4,2,1,-13232,152/3*theta_K^3 - 364*theta_K^2 - 416/3*theta_K - 180,97504/9*theta_K^3 - 1079488/27*theta_K^2 - 369328/27*theta_K - 186896/9,x^4 - 853890*x^3 + 462230813618*x^2 + 51918597034820*x + 909768705126273,4,True,False
556,x^4 - 4*x^2 - 2*x - 2,4,2,1,-13232,751616/3*theta_K^3 - 1406656/3*theta_K^2 - 124672*theta_K - 267696,-4780762112/27*theta_K^3 + 2982334208/9*theta_K^2 + 2379098624/27*theta_K + 1703042944/9,x^4 + 203124*x^3 + 13159951490*x^2 + 361807509923774*x + 5086469086990550433,4,True,False
557,x^4 - 4*x^2 - 12*x - 5,4,2,1,-13248,-320/3*theta_K^3 + 320/3*theta_K^2 + 1600/3*theta_K + 640/3,-3584/3*theta_K^3 + 3584/3*theta_K^2 + 17920/3*theta_K + 68096/27,8000,1,True,True
558,x^4 - 4*x^2 - 12*x - 5,4,2,1,-13248,-160/3*theta_K^2 + 320*theta_K - 480,3584/27*theta_K^3 - 3584/3*theta_K^2 + 3584*theta_K - 3584,8000,1,True,True
559,x^4 - 4*x^2 - 12*x - 5,4,2,1,-13248,-25280/3*theta_K^3 + 25280/3*theta_K^2 + 126400/3*theta_K + 52480/3,-935424*theta_K^3 + 935424*theta_K^2 + 4677120*theta_K + 53032448/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
560,x^4 - 4*x^2 - 12*x - 5,4,2,1,-13248,-4480*theta_K^3 - 5920/3*theta_K^2 + 41920*theta_K + 7840,-12963328/27*theta_K^3 - 648704*theta_K^2 + 15013376/3*theta_K + 9357824/3,x^2 - 377674768000*x + 232381513792000000,2,True,True
561,x^4 - 4*x^2 - 12*x - 5,4,2,1,-13248,4480*theta_K^3 - 9760/3*theta_K^2 - 10560*theta_K - 54880,15421952/27*theta_K^3 - 512512/3*theta_K^2 - 7637504/3*theta_K - 16733696/3,x^2 - 377674768000*x + 232381513792000000,2,True,True
562,x^4 - 4*x^2 - 12*x - 5,4,2,1,-13248,-6080/3*theta_K^3 + 6080/3*theta_K^2 + 30400/3*theta_K + 10240/3,347648/3*theta_K^3 - 347648/3*theta_K^2 - 1738240/3*theta_K - 6318592/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
563,x^4 - 2*x^3 - x^2 - 4*x + 4,4,2,1,-13248,320/3*theta_K^3 - 640/3*theta_K^2 - 320*theta_K - 2240/3,3584/3*theta_K^3 - 7168/3*theta_K^2 - 3584*theta_K - 222208/27,8000,1,True,True
564,x^4 - 2*x^3 - x^2 - 4*x + 4,4,2,1,-13248,-320/3*theta_K^3 + 640/3*theta_K^2 + 320*theta_K - 320,-3584/3*theta_K^3 + 7168/3*theta_K^2 + 3584*theta_K - 93184/27,8000,1,True,True
565,x^4 - 2*x^3 - x^2 - 4*x + 4,4,2,1,-13248,6080/3*theta_K^3 - 12160/3*theta_K^2 - 6080*theta_K - 44480/3,-347648/3*theta_K^3 + 695296/3*theta_K^2 + 347648*theta_K + 21840896/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
566,x^4 - 2*x^3 - x^2 - 4*x + 4,4,2,1,-13248,-6080/3*theta_K^3 + 12160/3*theta_K^2 + 6080*theta_K - 6720,347648/3*theta_K^3 - 695296/3*theta_K^2 - 347648*theta_K + 9325568/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
567,x^4 - 2*x^3 - x^2 - 4*x + 4,4,2,1,-13248,25280/3*theta_K^3 - 50560/3*theta_K^2 - 25280*theta_K - 175040/3,935424*theta_K^3 - 1870848*theta_K^2 - 2806272*theta_K - 174275584/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
568,x^4 - 2*x^3 - x^2 - 4*x + 4,4,2,1,-13248,-25280/3*theta_K^3 + 50560/3*theta_K^2 + 25280*theta_K - 24640,-935424*theta_K^3 + 1870848*theta_K^2 + 2806272*theta_K - 73249792/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
569,x^4 - 2*x^3 - 3*x^2 + 4*x + 12,4,0,2,13376,689280*theta_K^3 - 4106560/3*theta_K^2 - 17664320/3*theta_K - 19625920/3,25601795072/27*theta_K^3 - 59590547968/27*theta_K^2 - 239910662656/27*theta_K - 261810719744/27,8000,1,True,True
570,x^4 - 2*x^3 + x^2 - 10*x + 19,4,0,2,13376,2048*theta_K^3 + 448*theta_K^2 + 2432*theta_K - 48832/3,-293888/15*theta_K^3 - 652288/15*theta_K^2 - 1498112/15*theta_K - 3211264/135,8000,1,True,True
571,x^4 + 3*x^2 - 8,4,2,1,-13448,68/3*theta_K^3 - 17*theta_K^2 + 68/3*theta_K - 51,2356/9*theta_K^3 - 11402/27*theta_K^2 + 26996/27*theta_K - 31502/27,x^2 - 314432*x - 24137569,2,True,False
572,x^4 + 3*x^2 - 8,4,2,1,-13448,-136*theta_K^3 - 1292*theta_K^2 + 544*theta_K + 5372/3,2416960/27*theta_K^3 - 297712/3*theta_K^2 - 4205120/27*theta_K + 173328,x^2 - 314432*x - 24137569,2,True,False
573,x^4 + 3*x^2 - 8,4,2,1,-13448,11963/2*theta_K^3 - 15609/2*theta_K^2 + 28124*theta_K - 110048/3,19586000/27*theta_K^3 - 946250*theta_K^2 + 92084800/27*theta_K - 13346560/3,x^2 - 264706*x + 454756609,2,True,False
574,x^4 + 3*x^2 - 8,4,2,1,-13448,1879/6*theta_K^3 - 817/2*theta_K^2 + 4412/3*theta_K - 1920,-2120/9*theta_K^3 + 8290/27*theta_K^2 - 29920/27*theta_K + 39040/27,x^2 - 264706*x + 454756609,2,True,False
575,x^4 + 3*x^2 - 8,4,2,1,-13448,-20732/3*theta_K^3 + 9023*theta_K^2 - 97532/3*theta_K + 42429,-661252/27*theta_K^3 + 862822/27*theta_K^2 - 345356/3*theta_K + 4054082/27,x^2 - 68765615552*x + 118740008189951,2,True,False
576,x^4 + 3*x^2 - 8,4,2,1,-13448,191243/2*theta_K^3 - 249449/2*theta_K^2 + 449564*theta_K - 1759328/3,1255918160/27*theta_K^3 - 60676634*theta_K^2 + 5904777280/27*theta_K - 855824896/3,x^2 - 68765615552*x + 118740008189951,2,True,False
577,x^4 - 7*x^2 + 2,4,4,0,13448,-1785*theta_K^2 + 1598/3,73250*theta_K^2 - 590236/27,x^2 - 314432*x - 24137569,2,True,False
578,x^4 - 7*x^2 + 2,4,4,0,13448,-1785*theta_K^2 + 1598/3,-356190*theta_K^2 + 2870116/27,x^2 - 314432*x - 24137569,2,True,False
579,x^4 - 7*x^2 + 2,4,4,0,13448,-97/2*theta_K^3 + 139/6*theta_K^2 + 1007/3*theta_K - 185,-3280/9*theta_K^3 + 5390/27*theta_K^2 + 65920/27*theta_K - 12020/9,x^2 - 264706*x + 454756609,2,True,False
580,x^4 - 7*x^2 + 2,4,4,0,13448,-2492/3*theta_K^3 + 1379/3*theta_K^2 + 16708/3*theta_K - 9263/3,18020/27*theta_K^3 - 9890/27*theta_K^2 - 40220/9*theta_K + 66010/27,x^2 - 264706*x + 454756609,2,True,False
581,x^4 - 7*x^2 + 2,4,4,0,13448,9988/3*theta_K^3 - 5581/3*theta_K^2 - 66812/3*theta_K + 37057/3,145028/27*theta_K^3 - 81458/27*theta_K^2 - 321788/9*theta_K + 528682/27,x^2 - 68765615552*x + 118740008189951,2,True,False
582,x^4 - 7*x^2 + 2,4,4,0,13448,-1617/2*theta_K^3 + 2779/6*theta_K^2 + 16127/3*theta_K - 2985,-210256/9*theta_K^3 + 345086/27*theta_K^2 + 4226944/27*theta_K - 770708/9,x^2 - 68765615552*x + 118740008189951,2,True,False
583,x^4 + 15*x^2 + 49,4,0,2,13456,5*theta_K^2 + 73/3,-280/27*theta_K^2 - 454/9,x^2 + 18891*x - 357911,2,True,False
584,x^4 + 15*x^2 + 49,4,0,2,13456,-5*theta_K^2 - 152/3,280/27*theta_K^2 + 946/9,x^2 + 18891*x - 357911,2,True,False
585,x^4 + 15*x^2 + 49,4,0,2,13456,-1440*theta_K^2 - 20732/3,-27715376/189*theta_K^3 - 133240768/189*theta_K,x^2 + 7580312864451*x + 144612187806169,2,True,False
586,x^4 + 15*x^2 + 49,4,0,2,13456,-1620*theta_K^2 - 23332/3,3456176/189*theta_K^3 + 16626368/189*theta_K,x^2 + 7580312864451*x + 144612187806169,2,True,False
587,x^4 - 5*x^2 - 1,4,2,1,-13456,-35080/3*theta_K^3 - 79940/3*theta_K^2 - 6760/3*theta_K - 15392/3,-68011552/27*theta_K^3 - 154979440/27*theta_K^2 - 4365872/9*theta_K - 9948800/9,x^2 + 18891*x - 357911,2,True,False
588,x^4 - 5*x^2 - 1,4,2,1,-13456,10520/3*theta_K^3 + 23980/3*theta_K^2 + 680*theta_K + 1536,33875968/9*theta_K^3 + 77194000/9*theta_K^2 + 19571888/27*theta_K + 44598560/27,x^2 + 18891*x - 357911,2,True,False
589,x^4 - 5*x^2 - 1,4,2,1,-13456,-405*theta_K^2 - 242/3,-196840/27*theta_K^2 - 38342/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
590,x^4 - 5*x^2 - 1,4,2,1,-13456,-360*theta_K^2 - 217/3,-58520*theta_K^2 - 304342/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
591,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,-7*theta_K^3 + 12*theta_K^2 + 34*theta_K - 56,-434/9*theta_K^2 - 224/9*theta_K + 1568/9,x^2 + 191025*x - 121287375,2,True,True
592,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,-60*theta_K^3 + 189*theta_K^2 + 368*theta_K - 844,-266*theta_K^3 + 7616/9*theta_K^2 + 14588/9*theta_K - 34328/9,x^2 + 191025*x - 121287375,2,True,True
593,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,20*theta_K^3 - 59*theta_K^2 - 128*theta_K + 244,154/3*theta_K^3 - 1568/9*theta_K^2 - 2660/9*theta_K + 7448/9,x^2 + 191025*x - 121287375,2,True,True
594,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,17*theta_K^3 - 52*theta_K^2 - 94*theta_K + 216,-112/3*theta_K^3 + 1190/9*theta_K^2 + 1904/9*theta_K - 4928/9,x^2 + 191025*x - 121287375,2,True,True
595,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,2320/3*theta_K^3 + 576*theta_K^2 - 26704/3*theta_K - 14176,-1125760/27*theta_K^3 - 206336/9*theta_K^2 + 4670720/9*theta_K + 2424832/3,x^4 + 11490018325*x^3 - 792502070933178625*x^2 + 45355736578790960290625*x - 5394361058011498837484375,4,True,False
596,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,230864/3*theta_K^3 - 756832/3*theta_K^2 - 1283584/3*theta_K + 3151760/3,344211712/27*theta_K^3 - 125228288/3*theta_K^2 - 70853504*theta_K + 521583872/3,x^4 + 11490018325*x^3 - 792502070933178625*x^2 + 45355736578790960290625*x - 5394361058011498837484375,4,True,False
597,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,-1136/3*theta_K^3 - 1984*theta_K^2 - 5584/3*theta_K + 1440,1980544/27*theta_K^3 + 1668608/9*theta_K^2 - 2423552/9*theta_K - 2123776/3,x^4 + 11490018325*x^3 - 792502070933178625*x^2 + 45355736578790960290625*x - 5394361058011498837484375,4,True,False
598,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,84560/3*theta_K^3 - 276832/3*theta_K^2 - 469504/3*theta_K + 1152272/3,-76132096/27*theta_K^3 + 27689728/3*theta_K^2 + 47013760/3*theta_K - 115341056/3,x^4 + 11490018325*x^3 - 792502070933178625*x^2 + 45355736578790960290625*x - 5394361058011498837484375,4,True,False
599,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,3328*theta_K^3 - 11168*theta_K^2 - 18896*theta_K + 45744,788480/9*theta_K^3 - 896896/3*theta_K^2 - 4415488/9*theta_K + 11196416/9,x^2 - 37018076625*x + 153173312762625,2,True,True
600,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,-1520*theta_K^3 + 5744*theta_K^2 + 8048*theta_K - 30304,-522368/9*theta_K^3 + 630784/3*theta_K^2 + 2818816/9*theta_K - 9422336/9,x^2 - 37018076625*x + 153173312762625,2,True,True
601,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,-960*theta_K^3 + 4176*theta_K^2 + 4352*theta_K - 24256,29568*theta_K^3 - 1261568/9*theta_K^2 - 965888/9*theta_K + 7293440/9,x^2 - 37018076625*x + 153173312762625,2,True,True
602,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,4112*theta_K^3 - 13632*theta_K^2 - 23264*theta_K + 55936,-157696*theta_K^3 + 4721024/9*theta_K^2 + 7884800/9*theta_K - 19712000/9,x^2 - 37018076625*x + 153173312762625,2,True,True
603,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,63459280/3*theta_K^3 - 207199472/3*theta_K^2 - 117463328*theta_K + 863328752/3,1563930294272/27*theta_K^3 - 1706351366656/9*theta_K^2 - 2897017619456/9*theta_K + 2369131444352/3,x^4 - 1817994366064840229312933607785825*x^3 + 2739927317520184086475067334798949901375*x^2 + 24321772845751412521340474887880890361516646875*x - 40415132849049412323161469487369120260863268734375,4,True,False
604,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,448880*theta_K^3 + 2941088/3*theta_K^2 - 1934928*theta_K - 4228016,-5248056832/27*theta_K^3 - 1264887680/3*theta_K^2 + 2943127552/3*theta_K + 6384846848/3,x^4 - 1817994366064840229312933607785825*x^3 + 2739927317520184086475067334798949901375*x^2 + 24321772845751412521340474887880890361516646875*x - 40415132849049412323161469487369120260863268734375,4,True,False
605,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,8874608*theta_K^3 - 29038624*theta_K^2 - 148164464/3*theta_K + 363236720/3,417229533184/27*theta_K^3 - 455270382208/9*theta_K^2 - 772925273600/9*theta_K + 632112575488/3,x^4 - 1817994366064840229312933607785825*x^3 + 2739927317520184086475067334798949901375*x^2 + 24321772845751412521340474887880890361516646875*x - 40415132849049412323161469487369120260863268734375,4,True,False
606,x^4 - x^3 - 13*x^2 + x + 31,4,4,0,13725,660224/3*theta_K^3 + 237808/3*theta_K^2 - 7568864/3*theta_K - 3574640,-5416731008/27*theta_K^3 - 1168619648/9*theta_K^2 + 21489948800/9*theta_K + 11228778112/3,x^4 - 1817994366064840229312933607785825*x^3 + 2739927317520184086475067334798949901375*x^2 + 24321772845751412521340474887880890361516646875*x - 40415132849049412323161469487369120260863268734375,4,True,False
607,x^4 - x^3 - 5*x^2 + 2*x + 2,4,4,0,13768,28831/3*theta_K^3 - 27854*theta_K^2 + 14446/3*theta_K + 30340/3,-4351718/3*theta_K^3 + 113485772/27*theta_K^2 - 6507940/9*theta_K - 41279896/27,x^4 - 367410*x^3 + 7972933665*x^2 + 15229739335040*x - 335528516022272,4,True,False
608,x^4 - x^3 - 5*x^2 + 2*x + 2,4,4,0,13768,-2272/3*theta_K^3 + 3056/3*theta_K^2 + 10112/3*theta_K - 9440/3,-183424/9*theta_K^3 + 846592/27*theta_K^2 + 2308352/27*theta_K - 2235904/27,x^4 - 597033348*x^3 + 3570201329123599*x^2 - 76230183002264014208*x - 9160542255943534809088,4,True,False
609,x^4 - x^3 + 9*x^2 + 14,4,0,2,13916,-3*theta_K^3 + 6*theta_K^2 - 18*theta_K + 13,18/5*theta_K^3 - 36/5*theta_K^2 + 108/5*theta_K - 238/5,-3375,1,True,True
610,x^4 - x^3 + 9*x^2 + 14,4,0,2,13916,85,228/5*theta_K^3 - 456/5*theta_K^2 + 1368/5*theta_K - 798/5,16581375,1,True,True
611,x^4 - x^3 - 3*x^2 - 8*x + 22,4,0,2,13916,5,4/5*theta_K^3 + 8/5*theta_K^2 - 8/5*theta_K - 46/5,-3375,1,True,True
612,x^4 - x^3 - 3*x^2 - 8*x + 22,4,0,2,13916,-51*theta_K^3 - 102*theta_K^2 + 102*theta_K + 629,1026/5*theta_K^3 + 2052/5*theta_K^2 - 2052/5*theta_K - 21774/5,16581375,1,True,True
